word,count,gems,should_include?
subclasses,30,"multi_json, tzinfo, rspec-mocks, minitest, rake, rack, thor, bundler, eventmachine, rspec-core, mail, thread_safe, capybara, tilt",
gson,1,multi_json,
rb,43,"multi_json, rspec-expectations, sidekiq, rake, rspec-support, paper_trail, rack, i18n, bundler, wicked_pdf, eventmachine, sitemap_generator, devise, rspec-core, redis-rb",
json,14,"multi_json, paper_trail, jbuilder, i18n, tilt",
Proc,20,"multi_json, aasm, paper_trail, i18n, ffi, bullet, rest-client, rspec-core",
valparse,1,multi_json,
lexeme,1,multi_json,
eval,1,multi_json,
unicode,6,"multi_json, nokogiri, mail, json",
Ustrerr,1,multi_json,
ucharcopy,1,multi_json,
jrjackson,1,multi_json,
obbserved,1,tzinfo,
subsec,2,tzinfo,
dst,9,tzinfo,
onwards,7,tzinfo,
seperately,2,tzinfo,
tzinfo,11,tzinfo,
occuring,3,tzinfo,
utc,1,tzinfo,
zoneinfo,22,tzinfo,
Mutex,4,"tzinfo, faraday, ruby-mime-types, thread_safe",
iso3166,10,tzinfo,
subclassing,7,"tzinfo, rspec-mocks, aasm, minitest, rspec-expectations, eventmachine",
strftime,3,"tzinfo, i18n",
deduplication,2,"tzinfo, nokogiri",
encodings,6,"tzinfo, mail",
proxied,6,"tzinfo, rspec-mocks, bundler, eventmachine, mail",
aways,2,tzinfo,
isdst,1,tzinfo,
includee,6,tzinfo,
format1,2,tzinfo,
Zoneinfo,1,tzinfo,
zone1970,6,tzinfo,
2017c,1,tzinfo,
x00,1,tzinfo,
zic,1,tzinfo,
usr,4,"tzinfo, mail",
Solaris,3,"tzinfo, ffi",
overriden,6,"tzinfo, rspec-expectations, ffi",
namespace,65,"rspec-mocks, aasm, rspec-expectations, rake, rspec-support, paper_trail, faraday, rack, i18n, nokogiri, ruby-mime-types, thor, bundler, devise, json",
rspec,63,"rspec-mocks, minitest, rspec-expectations, rspec-support, paper_trail, thor, bundler, rspec-core",
Namespace,4,"rspec-mocks, bundler, rspec-core",
matchers,46,"rspec-mocks, minitest, rspec-expectations, rspec-support, capybara",
syntaxes,5,"rspec-mocks, rspec-expectations",
monkeypatching,3,"rspec-mocks, rspec-expectations, bundler",
baz,3,"rspec-mocks, i18n",
klass,15,"rspec-mocks, rspec-expectations, thor, bundler",
mutators,1,rspec-mocks,
mutator,1,rspec-mocks,
customisations,1,rspec-mocks,
wether,3,"rspec-mocks, rspec-support",
falsey,2,"rspec-mocks, rspec-expectations",
Subclasses,7,"rspec-mocks, faraday, sinatra, rspec-core, tilt",
prepended,3,"rspec-mocks, rspec-core, capybara",
lifecycle,7,"rspec-mocks, sidekiq, paper_trail, rack, nokogiri, eventmachine",
customizations,2,rspec-mocks,
behaviour,17,"rspec-mocks, rspec-expectations, diff-lcs, rack, ruby-mime-types, ffi, bundler, eventmachine, sitemap_generator, rspec-core, mail, capybara",
validatiy,1,rspec-mocks,
args,50,"rspec-mocks, aasm, minitest, rspec-expectations, sidekiq, rake, rspec-support, nokogiri, thor, bundler, rspec-core",
arity,4,"rspec-mocks, rspec-expectations, rspec-support, i18n",
arg,15,"rspec-mocks, minitest, rspec-expectations, thor, bundler, eventmachine, rspec-core",
boolean,21,"rspec-mocks, rspec-expectations, paper_trail, nokogiri, thor, bundler, eventmachine, sitemap_generator, devise, json",
subclassed,8,"rspec-mocks, rspec-expectations, eventmachine, sinatra",
Proxying,1,rspec-mocks,
klass's,1,rspec-mocks,
propogates,1,rspec-mocks,
libs,6,"rspec-mocks, faraday, eventmachine, rspec-core",
rspec's,1,rspec-mocks,
p195,1,rspec-mocks,
p247,1,rspec-mocks,
accessor,20,"rspec-mocks, minitest, paper_trail, thor, ffi, bundler, sitemap_generator, devise, rspec-core, mail, thread_safe",
getter,4,"aasm, rspec-core",
aasm,3,aasm,
invoker,14,"aasm, thor, ffi, bundler",
proc,22,"aasm, minitest, rspec-expectations, sidekiq, ffi, friendly_id, eventmachine, rest-client, sinatra, rspec-core, capybara",
invokers,1,aasm,
transactional,1,aasm,
Procs,4,"aasm, paper_trail, friendly_id, eventmachine",
mixins,3,aasm,
runnable,2,minitest,
Eg,1,minitest,
marshalled,4,"minitest, faraday, rack",
minitest,10,minitest,
eg,5,"minitest, paper_trail, bundler",
jruby,4,"minitest, rest-client, rspec-core",
maglev,1,minitest,
mri,1,minitest,
rubinius,1,minitest,
backtrace,25,"minitest, rspec-expectations, sidekiq, rspec-support, rack, thor, bundler, sinatra, rspec-core, json",
bt,1,minitest,
msg,6,"minitest, sidekiq, nokogiri, mail",
desc,2,minitest,
describe's,1,minitest,
customizable,2,"minitest, rspec-core",
superclass,13,"minitest, http-cookie, thor, bundler, sinatra, mail",
Rdoc,1,minitest,
hacky,1,minitest,
teardown,6,"minitest, rspec-core",
signalling,3,"minitest, thread_safe",
10k,1,minitest,
benchmarking,2,minitest,
ae,1,minitest,
ln,1,minitest,
enum,13,"minitest, paper_trail, thor, ffi, bundler",
Damnit,1,minitest,
truthy,5,"minitest, rspec-expectations, diff-lcs, ruby-mime-types",
cls,4,minitest,
matcher,99,"minitest, rspec-expectations, rspec-support, faraday, rspec-core, capybara",
stderr,17,"minitest, rspec-expectations, rake, rspec-support, bundler, rest-client, rspec-core",
stdout,15,"minitest, rspec-expectations, bundler, eventmachine, rest-client, rspec-core",
sym,1,minitest,
subprocesses,3,"minitest, rspec-expectations",
10x,1,minitest,
Tempfile,4,"minitest, rack-test, bundler, rest-client",
subprocess,4,"minitest, rspec-expectations, eventmachine",
o1,1,minitest,
o2,1,minitest,
